id,severity,module,file,line,rule,issue,status,owner,round,verified_by,notes,updated_at
FE-AUD-001,P1,layout,app/[locale]/layout.tsx,120,web-design-guidelines,缺少全局 skip link（键盘直达主内容）,fixed,ai,round-0,"lint,typecheck","同时在 components/ui/sidebar.tsx 注入 id=main-content",2026-02-13
FE-AUD-002,P2,prototype-vuln,components/prototypes/vulnerability-audit-detail.tsx,77,web-design-guidelines,icon 按钮缺少 aria-label,fixed,ai,round-0,"lint,typecheck","复制按钮已补可访问名称",2026-02-13
FE-AUD-003,P2,react-flow-demo,app/[locale]/scan/engine/demo/feature-flow/content.tsx,14,react-flow-code-review,自定义节点未 memo 导致额外重渲染,fixed,ai,round-0,"lint,typecheck","CustomFeatureNode 已 memo",2026-02-13
FE-AUD-004,P2,react-flow-demo,app/[locale]/scan/engine/demo/feature-flow/content.tsx,7,vercel-react-best-practices,ReactFlow 样式重复引入,fixed,ai,round-0,"lint,typecheck","删除页面内重复 style.css，仅保留全局引入",2026-02-13
FE-AUD-005,P2,prototype-scan-actions,app/[locale]/prototypes/scan-history-actions/content.tsx,443,web-design-guidelines,div role=button 交互语义不佳,fixed,ai,round-0,"lint,typecheck","改为原生 button",2026-02-13
FE-AUD-006,P2,prototype-vuln,components/prototypes/vuln-audit-drawer.tsx,136,web-design-guidelines,tr role=button 交互语义不佳,fixed,ai,round-0,"lint,typecheck","改为单独按钮触发详情",2026-02-13
FE-AUD-007,P2,prototype-vuln,components/prototypes/vuln-audit-vertical.tsx,262,web-design-guidelines,div role=button 交互语义不佳,fixed,ai,round-0,"lint,typecheck","改为文本按钮触发详情",2026-02-13
FE-AUD-008,P2,prototype-asset,app/[locale]/prototypes/advanced-asset-pulse/content.tsx,2621,web-design-guidelines,div role=button 交互语义不佳,fixed,ai,round-0,"lint,typecheck","MiniChart 容器改为 button",2026-02-13
FE-AUD-009,P1,notifications,hooks/use-notification-sse.ts,39,web-design-guidelines,通知相对时间文案硬编码中文（EN 站点显示中文）,fixed,ai,round-2,"lint,typecheck","注入 locale/timeLabels；支持 `common.time` 翻译并在 locale 变化时重算时间文案",2026-02-13
FE-AUD-010,P2,notifications,hooks/use-notification-sse.ts,24,web-design-guidelines,通知类型推断仅基于中文关键词（英文消息可能误分类为 system）,fixed,ai,round-2,"lint,typecheck","类型推断改为中英文正则匹配（含词边界），覆盖 scan/task/vulnerability/asset 并降低误判",2026-02-13
FE-AUD-011,P2,dashboard,components/dashboard/bauhaus-dashboard-header.tsx,16,web-design-guidelines,Dashboard 头部时间与文案硬编码英文/`en-US`,fixed,ai,round-2,"lint,typecheck","接入 `dashboard.bauhausHeader` 文案与 `useLocale` 时间格式",2026-02-13
FE-AUD-012,P2,layout,app/[locale]/layout.tsx,124,web-design-guidelines,Skip link 文案未国际化（固定英文）,fixed,ai,round-2,"lint,typecheck","layout 服务端使用 `common.ui.skipToMainContent`",2026-02-13
FE-AUD-013,P2,common-header,components/common/bauhaus-page-header.tsx,47,web-design-guidelines,BauhausPageHeader 时间与状态栏文案未国际化（硬编码 `en-US` / `STATUS` / `CYCLE` / `ACTIVE`）,fixed,ai,round-3,"lint,typecheck","接入 `useLocale` + `common.ui` 文案键，状态文本默认值改为可翻译",2026-02-13
FE-AUD-014,P2,scan-scheduled,components/scan/scheduled/scheduled-scan-page.tsx,132,web-design-guidelines,定时扫描页面时间格式硬编码 `zh-CN`,fixed,ai,round-3,"lint,typecheck","改为 `useLocale` 驱动 `toLocaleString(locale)`",2026-02-13
FE-AUD-015,P2,scan-engine,components/scan/engine/scan-engine-page.tsx,397,web-design-guidelines,扫描引擎详情更新时间未使用当前 locale（默认浏览器格式）,fixed,ai,round-3,"lint,typecheck","接入 `useLocale` 并传入 `toLocaleString(locale)`",2026-02-13
FE-AUD-016,P2,ui-datetime-picker,components/ui/datetime-picker.tsx,64,web-design-guidelines,DateTimePicker 日期展示硬编码 `zh-CN`,fixed,ai,round-3,"lint,typecheck","改为 `useLocale` 驱动 `toLocaleDateString(locale)`",2026-02-13
FE-AUD-017,P2,ui-datetime-picker,components/ui/datetime-picker.tsx,39,vercel-react-best-practices,DateTimePicker 内部状态未同步外部 value（父组件更新后 UI 可能陈旧）,fixed,ai,round-4,"lint,typecheck,test","新增受控同步 effect，保证回填/重置时日期与时间展示一致",2026-02-13
FE-AUD-018,P2,vulnerability-detail,components/vulnerabilities/vulnerability-detail-content-sections.tsx,36,web-design-guidelines,漏洞详情复制按钮 aria-label 硬编码英文（Copied/Copy content）,fixed,ai,round-5,"lint,typecheck","同文件 74 行同步修复",2026-02-13
FE-AUD-019,P2,ui-copyable,components/ui/copyable-popover-content.tsx,43,web-design-guidelines,通用复制浮层按钮 aria-label 硬编码英文（Copied/Copy content）,fixed,ai,round-5,"lint,typecheck","改为 common.actions/tooltips 翻译键",2026-02-13
FE-AUD-020,P2,vulnerability-table,components/vulnerabilities/vulnerabilities-data-table.tsx,227,web-design-guidelines,漏洞表格清空选择按钮 aria-label 硬编码英文（Clear selection）,fixed,ai,round-5,"lint,typecheck","改为 common.actions.deselectAll",2026-02-13
FE-AUD-021,P2,scan-scheduled-dialog,components/scan/scheduled/scheduled-scan-dialog-sections.tsx,242,web-design-guidelines,定时扫描对话框搜索/清空控件 aria-label 硬编码英文,fixed,ai,round-5,"lint,typecheck","覆盖组织与目标的 search/clear aria-label（242/280/309/349 行）",2026-02-13
FE-AUD-022,P2,target-all-targets,components/target/all-targets-columns.tsx,211,web-design-guidelines,目标列表行菜单按钮 aria-label 硬编码英文（More actions）,fixed,ai,round-5,"lint,typecheck","在 all-targets-detail-view-state 注入 actions.openMenu 翻译",2026-02-13
FE-AUD-023,P2,screenshots-gallery,components/screenshots/screenshots-gallery-sections.tsx,199,web-design-guidelines,截图库分页/灯箱/外链按钮 aria-label 硬编码英文,fixed,ai,round-5,"lint,typecheck","覆盖 openInNewTab/previousPage/nextPage/closeLightbox/previousScreenshot/nextScreenshot",2026-02-13
FE-AUD-024,P2,nudges,components/nudges/nudge-playful.tsx,48,web-design-guidelines,Nudge 关闭按钮 aria-label 硬编码英文（Dismiss notification）,fixed,ai,round-5,"lint,typecheck","同类修复 nudge-banner.tsx:49 与 nudge-minimal.tsx:74",2026-02-13
FE-AUD-025,P2,fingerprints,components/fingerprints/arl-fingerprint-columns.tsx,36,web-design-guidelines,指纹列表全选/单选复选框 aria-label 硬编码英文（Select all/Select row）,fixed,ai,round-5,"lint,typecheck","6 套 fingerprints columns 改为由 view 透传 selectLabels（actions.selectAll/selectRow）",2026-02-13
FE-AUD-026,P2,visual-toolkits,components/pixel-blast.tsx,842,web-design-guidelines,装饰性背景与工具页链接存在硬编码英文 aria-label（非必要/覆盖可见文本）,fixed,ai,round-5,"lint,typecheck","pixel-blast 改 aria-hidden；github-buttons 3 处移除冗余 aria-label（329/811/989 行）",2026-02-13
FE-AUD-027,P2,terminal-login,components/ui/terminal-login-sections.tsx,186,web-design-guidelines,mobile 登录输入框 `outline-none` 缺少明确 `focus-visible` 焦点提示,fixed,ai,round-6,"lint,typecheck","用户名/密码输入框补 `focus-visible:ring-2 focus-visible:ring-primary/40`（186/202 行）",2026-02-13
FE-AUD-028,P2,tools-github-buttons,app/[locale]/tools/github-buttons/content.tsx,359,vercel-react-best-practices,渲染期使用 `Math.random()` 生成样式导致 hydration 不稳定风险,fixed,ai,round-6,"lint,typecheck","改为常量 `PENGUIN_LOGISTICS_BARCODE_HEIGHTS` 生成条码高度",2026-02-13
